ISO,country,year,population,cases_low,cases,cases_high,deaths_low,deaths,deaths_high
DZA,Algeria,2000,1823421,,34,,,2,
DZA,,2001,1847461,,6,,,1,
DZA,,2002,1871169,,10,,,0,
DZA,,2003,1895196,,5,,,0,
DZA,,2004,1920337,,2,,,0,
DZA,,2005,1947214,,1,,,0,
DZA,,2006,1976072,,1,,,0,
DZA,,2007,2006967,,26,,,0,
DZA,,2008,2040075,,3,,,0,
DZA,,2009,2075512,,0,,,0,
DZA,,2010,2113315,,1,,,1,
DZA,,2011,2153492,,1,,,0,
DZA,,2012,2195930,,55,,,0,
DZA,,2013,2240351,,8,,,0,
DZA,,2014,2286377,,0,,,0,
DZA,,2015,2333623,,0,,,0,
DZA,,2016,2381988,,0,,,0,
DZA,,2017,2431199,,0,,,0,
DZA,,2018,2480496,,0,,,0,
DZA,,2019,2528936,,0,,,0,
AGO,Angola,2000,16395477,3840000,5275560,7013000,16900,18674,20700
AGO,,2001,16945753,4016000,5517080,7339000,16900,18684,20800
AGO,,2002,17519418,3952000,5426313,7318000,17200,19083,21300
AGO,,2003,18121477,4132000,5667511,7569000,17400,19456,21800
AGO,,2004,18758138,4316000,5946911,7974000,17100,19210,21700
AGO,,2005,19433604,4747000,6177115,7831000,16300,18442,20900
AGO,,2006,20149905,4708000,6086202,7708000,15200,17425,20000
AGO,,2007,20905360,4354000,5695246,7354000,14100,16410,19100
AGO,,2008,21695636,3727000,4945196,6457000,13000,15240,18100
AGO,,2009,22514275,3284000,4362172,5725000,11800,14116,17000
AGO,,2010,23356247,3089000,4108235,5420000,11000,13429,16400
AGO,,2011,24220660,2998000,4030883,5258000,10400,12845,16000
AGO,,2012,25107925,3094000,4155393,5460000,10000,12467,15800
AGO,,2013,26015786,3337000,4500708,5909000,9770,12295,15800
AGO,,2014,26941773,3601000,4828163,6362000,9840,12535,16400
AGO,,2015,27884380,4028000,5297305,6797000,10100,13168,17700
AGO,,2016,28842482,4528000,5927529,7693000,10200,13311,18100
AGO,,2017,29816769,4741000,6450282,8522000,10300,13455,18400
AGO,,2018,30809787,5034000,7004857,9491000,10300,13529,18600
AGO,,2019,31825299,5271000,7484109,10290000,10400,13663,18900
BEN,Benin,2000,6865946,2288000,2886173,3569000,6780,7157,7560
BEN,,2001,7076728,2457000,3103010,3844000,6320,6678,7050
BEN,,2002,7295400,2579000,3246723,4027000,6760,7153,7550
BEN,,2003,7520556,2787000,3494942,4344000,7250,7684,8140
BEN,,2004,7750003,2993000,3768637.00,4689000,8080,8572,9100
BEN,,2005,7982223,3164000,3957364,4921000,8960,9525,10100
BEN,,2006,8216893,3238000,4094227,5107000,9800,10439,11100
BEN,,2007,8454790,3257000,4147295,5216000,9860,10526,11200
BEN,,2008,8696915,3174000,4061531,5114000,9310,9957,10600
BEN,,2009,8944713,2947000,3815268,4866000,8420,9024,9670
BEN,,2010,9199254,2819000,3646140,4636000,7500,8050,8630
BEN,,2011,9460829,2760000,3552893,4499000,6800,7308,7840
BEN,,2012,9729254,2893000,3650241,4570000,6240,6724,7230
BEN,,2013,10004594,3096000,3900258,4880000,5890,6365,6860
BEN,,2014,10286839,3278000,4125163,5120000,5920,6407,6930
BEN,,2015,10575962,3570000,4447719,5464000,6110,6654,7230
BEN,,2016,10872072,3934000,4832955,5900000,6310,6915,7550
BEN,,2017,11175192,3908000,4843380,5917000,6440,7134,7830
BEN,,2018,11485035,3748000,4763360,5957000,6360,7088,7880
BEN,,2019,11801151,3670000,4799544,6166000,6230,7065,7960
