ISO,country,year,population,cases_low,cases,cases_high,deaths_low,deaths,deaths_high
BWA,Botswana,2000,1089496,13000,19480,35000,1,49,120
BWA,,2001,1110275,4600,7810,14000,0,19,48
BWA,,2002,1130140,2000,3710,7600,0,9,26
BWA,,2003,1149863,740,1876,4500,0,4,15
BWA,,2004,1170513,250,1219,3800,0,3,12
BWA,,2005,1192752,830,1485,2800,0,3,9
BWA,,2006,1217172,3200,4879,8200,0,12,28
BWA,,2007,1243391,490,1285,3200,0,3,10
BWA,,2008,1270028,1200,2457,4900,0,6,17
BWA,,2009,1295128,1300,2718,5200,0,6,18
BWA,,2010,1317411,1300,2229,4000,0,5,13
BWA,,2011,1336173,520,682,940,0,1,3
BWA,,2012,1352181,230,304,410,0,0,1
BWA,,2013,1367430,570,729,980,0,1,3
BWA,,2014,1384712,1600,2074,2800,0,5,10
BWA,,2015,1405992,400,522,710,0,1,2
BWA,,2016,1431987,890,1157,1600,0,2,5
BWA,,2017,1461921,2300,3005,4100,0,7,15
BWA,,2018,1494401,680,881,1200,0,2,4
BWA,,2019,1527309,200,257,360,0,0,1
BFA,Burkina Faso,2000,11607951,5456000,6840864,8459000,33600,35897,38200
BFA,,2001,11944589,5541000,7028819,8786000,35800,38224,40800
BFA,,2002,12293097,5649000,7137058,8927000,34600,36984,39600
BFA,,2003,12654624,5688000,7165885,8919000,34200,36697,39300
BFA,,2004,13030576,5612000,6997556,8698000,34000,36510,39200
BFA,,2005,13421935,5389000,6801959,8473000,33000,35568,38300
BFA,,2006,13829173,5346000,6828527,8541000,32400,35021,37700
BFA,,2007,14252029,5701000,7180196,8965000,32500,35200,38000
BFA,,2008,14689725,6257000,7835309,9658000,32600,35450,38400
BFA,,2009,15141098,6698000,8358319,10320000,26300,28757,31300
BFA,,2010,15605211,6884000,8602187,10590000,29700,32684,35900
BFA,,2011,16081915,6968000,8677204,10710000,27300,30361,33600
BFA,,2012,16571252,7043000,8742005,10760000,20500,23104,25900
BFA,,2013,17072791,6694000,8323401,10230000,19600,22398,25500
BFA,,2014,17586029,6151000,7668618,9439000,17700,20637,24100
BFA,,2015,18110616,5741000,7245827,9025000,15400,18275,21800
BFA,,2016,18646350,5249000,7490818,10340000,13500,16214,19800
BFA,,2017,19193236,5406000,7676215,10590000,12200,15067,18800
BFA,,2018,19751466,5551000,7875575,10960000,11700,14832,19000
BFA,,2019,20321383,5520000,7859000,10850000,11300,14661,19300
BDI,Burundi,2000,6378871,2363000,3214385,4321000,11400,12275,13300
BDI,,2001,6525546,2311000,3203420,4283000,10500,11323,12300
BDI,,2002,6704118,2181000,2984556,4000000,9600,10401,11300
BDI,,2003,6909161,2047000,2797949,3755000,8660,9397,10200
BDI,,2004,7131688,1822000,2498637,3349000,7510,8122,8840
BDI,,2005,7364857,1637000,2255531,3015000,6370,6873,7440
BDI,,2006,7607850,1451000,2031235,2759000,5710,6152,6640
BDI,,2007,7862226,1261000,1785715,2471000,5170,5552,5980
BDI,,2008,8126104,1112000,1612991,2250000,4800,5152,5540
BDI,,2009,8397661,1044000,1520335,2158000,4560,4891,5250
BDI,,2010,8675606,1021000,1503258,2127000,4400,4730,5080
BDI,,2011,8958406,1041000,1499570,2090000,4300,4644,5020
BDI,,2012,9245992,1096000,1536650,2114000,4400,4786,5240
BDI,,2013,9540302,1160000,1648882,2271000,4340,4765,5280
BDI,,2014,9844301,1247000,1759151,2426000,4370,4866,5480
BDI,,2015,10160034,1437000,1990538,2715000,4380,4933,5650
BDI,,2016,10488002,1755000,2407557,3205000,4420,5038,5870
BDI,,2017,10827010,2074000,2805588,3716000,4430,5138,6070
BDI,,2018,11175379,2435000,3241635,4236000,4410,5145,6170
BDI,,2019,11530577,2538000,3412492,4496000,4420,5184,6290
CPV,Cabo Verde,2000,111326,,144,,,0,
CPV,,2001,113282,,107,,,0,
CPV,,2002,115168,,76,,,2,
CPV,,2003,116980,,68,,,4,
CPV,,2004,118720,,45,,,4,
CPV,,2005,120388,,68,,,2,
CPV,,2006,121984,,80,,,8,
CPV,,2007,123517,,18,,,2,
CPV,,2008,125019,,35,,,2,
CPV,,2009,126533,,65,,,2,
CPV,,2010,128087,,47,,,1,
CPV,,2011,129703,,7,,,1,
CPV,,2012,131362,,1,,,0,
CPV,,2013,133052,,22,,,0,
CPV,,2014,134751,,26,,,1,
CPV,,2015,136432,,7,,,0,
CPV,,2016,138096,,48,,,1,
CPV,,2017,139749,,423,,,2,
CPV,,2018,141378,,2,,,0,
CPV,,2019,142983,,0,,,0,
CMR,Cameroon,2000,15513944,4949000,6291500,7905000,15700,16746,17900
CMR,,2001,15928910,5090000,6471215,8108000,16900,18040,19300
CMR,,2002,16357605,5199000,6583442,8205000,20500,22018,23500
CMR,,2003,16800869,5469000,6959244,8724000,22600,24196,25900
CMR,,2004,17259322,5879000,7457970,9380000,23700,25402,27300
CMR,,2005,17733408,5958000,7629075,9613000,23300,25042,27000
CMR,,2006,18223677,5909000,7603454,9610000,21300,22995,24800
CMR,,2007,18730283,5696000,7437648,9477000,18200,19576,21100
CMR,,2008,19252674,5297000,6963958,9021000,15200,16419,17700
CMR,,2009,19789922,4828000,6299137,8113000,13200,14233,15300
CMR,,2010,20341236,4529000,5909335,7556000,11800,12750,13700
CMR,,2011,20906392,4272000,5574283,7146000,11400,12276,13200
CMR,,2012,21485267,3981000,5455543,7293000,11800,12733,13800
CMR,,2013,22077300,3795000,5590823,7961000,11900,12904,14000
CMR,,2014,22681853,3680000,5649911,8290000,11900,12948,14100
CMR,,2015,23298376,3822000,5777768,8306000,11500,12629,13800
CMR,,2016,23926549,4178000,5918836,8153000,11000,12184,13500
CMR,,2017,24566070,4501000,5965313,7830000,10400,11661,13000
CMR,,2018,25216261,4696000,6077650,7751000,10100,11413,12900
CMR,,2019,25876387,4854000,6291256,8076000,9730,11278,13000
CAF,Central African Republic,2000,3640421,1189000,1579130,2055000,5070,5631,6240
CAF,,2001,3722016,1217000,1606811,2067000,5440,6058,6740
CAF,,2002,3802129,1242000,1633454,2100000,6010,6723,7530
CAF,,2003,3881185,1291000,1693492,2191000,6570,7393,8350
CAF,,2004,3959883,1331000,1763481,2287000,6880,7803,8910
CAF,,2005,4038380,1388000,1800676,2302000,7250,8335,9640
CAF,,2006,4118075,1403000,1819614,2320000,7760,9035,10600
CAF,,2007,4198004,1420000,1825263,2305000,7600,8968,10800
CAF,,2008,4273368,1395000,1800343,2289000,7040,8421,10300
CAF,,2009,4337623,1327000,1756714,2275000,6580,8032,10000
CAF,,2010,4386765,1244000,1711195,2300000,5800,7267,9290
CAF,,2011,4418639,1193000,1685137,2293000,4920,6290,8260
CAF,,2012,4436411,1200000,1683507,2275000,4380,5754,7750
CAF,,2013,4447945,1200000,1689380,2315000,3700,4980,6860
CAF,,2014,4464171,1163000,1662001,2316000,3370,4650,6600
CAF,,2015,4493171,1113000,1609659,2264000,3000,4229,6160
CAF,,2016,4537683,1107000,1581723,2183000,2680,3881,5800
CAF,,2017,4596023,1102000,1583659,2217000,2490,3682,5650
CAF,,2018,4666375,1089000,1600845,2286000,2390,3592,5650
CAF,,2019,4745179,1097000,1636894,2348000,2260,3500,5670
TCD,Chad,2000,8264159,1235000,2245611,3779000,6800,7214,7670
TCD,,2001,8583024,1292000,2363133,3935000,6720,7140,7580
TCD,,2002,8920465,1156000,2119101,3554000,7280,7746,8240
TCD,,2003,9271268,1186000,2124954,3636000,7530,8013,8540
TCD,,2004,9628165,1156000,2114917,3580000,7790,8306,8870
TCD,,2005,9986071,1129000,2180093,3863000,8700,9303,9960
TCD,,2006,10342616,1123000,2249747,4017000,10000,10754,11600
TCD,,2007,10699573,1173000,2286009,4029000,11000,11778,12700
TCD,,2008,11061128,1298000,2315942,3896000,12300,13299,14400
TCD,,2009,11433558,1407000,2397825,3798000,12700,13790,15000
TCD,,2010,11821258,1458000,2452621,3891000,12500,13636,14900
TCD,,2011,12225633,1351000,2408462,3935000,11500,12628,13800
TCD,,2012,12644755,1201000,2412960,4258000,10400,11462,12600
TCD,,2013,13075669,1089000,2435214,4630000,9520,10576,11700
TCD,,2014,13513945,1070000,2512304,4979000,8630,9661,10800
TCD,,2015,13956455,1245000,2674276,5109000,8120,9161,10300
TCD,,2016,14402207,1440000,2795550,4884000,7740,8840,10100
TCD,,2017,14852327,1623000,2873012,4780000,7500,8692,10100
TCD,,2018,15308245,1748000,3049681,4979000,7390,8663,10300
TCD,,2019,15772263,1798000,3187220,5221000,7260,8665,10500
COM,Comoros,2000,542358,24000,35309,47000,2,87,190
COM,,2001,555895,24000,35335,47000,2,87,190
COM,,2002,569480,24000,35347,48000,2,87,190
COM,,2003,583213,24000,35347,48000,2,87,190
COM,,2004,597230,24000,35342,48000,2,87,190
COM,,2005,611625,24000,35336,47000,2,87,190
COM,,2006,626427,24000,35332,47000,2,87,190
COM,,2007,641624,24000,35328,47000,2,87,190
COM,,2008,657227,24000,35325,47000,2,87,190
COM,,2009,673251,24000,35322,47000,2,87,190
COM,,2010,689696,,36538,,3,89,140
COM,,2011,706578,,24856,,2,61,95
COM,,2012,723865,,49840,,4,125,200
COM,,2013,741511,,53156,,5,134,210
COM,,2014,759390,,2203,,0,5,8
COM,,2015,777435,,1300,,0,3,5
COM,,2016,795597,,1066,,0,2,4
COM,,2017,813890,,2274,,0,5,9
COM,,2018,832322,,15613,,1,39,62
COM,,2019,850891,,17599,,1,39,61
COG,Congo,2000,3127420,723000,1107773,1622000,2420,2594,2780
COG,,2001,3217930,720000,1105780,1640000,2520,2696,2890
COG,,2002,3310376,694000,1059383,1564000,2530,2698,2880
COG,,2003,3406915,702000,1063381,1561000,2560,2733,2920
COG,,2004,3510468,701000,1081512,1582000,2420,2576,2740
COG,,2005,3622775,727000,1071382,1522000,2290,2434,2590
COG,,2006,3745143,704000,1029257,1451000,2080,2204,2340
COG,,2007,3876123,666000,964732,1374000,1930,2039,2160
COG,,2008,4011487,589000,879254,1256000,1850,1954,2060
COG,,2009,4145400,528000,830863,1241000,1810,1909,2010
COG,,2010,4273738,506000,825106,1283000,1790,1894,2000
COG,,2011,4394842,522000,841452,1300000,1770,1882,2000
COG,,2012,4510197,551000,867530,1308000,1760,1898,2040
COG,,2013,4622757,589000,923236,1377000,1790,1951,2140
COG,,2014,4736965,615000,963579,1437000,1780,1968,2200
COG,,2015,4856093,624000,994126,1523000,1730,1900,2150
COG,,2016,4980996,615000,1052715,1693000,1750,1942,2230
COG,,2017,5110701,598000,1135273,1923000,1740,1938,2250
COG,,2018,5244363,626000,1212707,2150000,1760,1957,2300
COG,,2019,5380504,625000,1241940,2239000,1780,1985,2360
CIV,Côte d’Ivoire,2000,16454660,6879000,8457103,10280000,27600,29356,31300
CIV,,2001,16853027,7058000,8743638,10640000,29200,31128,33200
CIV,,2002,17231539,7285000,8942765,10940000,29300,31284,33400
CIV,,2003,17599613,7419000,9141777,11140000,27600,29520,31500
CIV,,2004,17970493,7566000,9309037,11360000,24000,25608,27300
CIV,,2005,18354513,7600000,9351060,11470000,20300,21709,23100
CIV,,2006,18754914,7624000,9471321,11620000,17700,18870,20100
CIV,,2007,19171250,7893000,9748393,11920000,16700,17822,19000
CIV,,2008,19605568,8104000,10002060,12160000,16200,17349,18600
CIV,,2009,20059147,8211000,9981034,12160000,16300,17537,18800
CIV,,2010,20532944,8083000,9823413,11780000,15300,16482,17700
CIV,,2011,21028652,7870000,9486145,11400000,13500,14526,15600
CIV,,2012,21547188,6731000,8350452,10250000,11300,12249,13200
CIV,,2013,22087506,4866000,6489514,8410000,9870,10648,11500
CIV,,2014,22647672,3717000,5185013,6968000,8880,9585,10400
CIV,,2015,23226148,3406000,6049768,9306000,8860,9615,10500
CIV,,2016,23822726,3324000,6635810,11010000,8660,9429,10300
CIV,,2017,24437475,3231000,7003630,11740000,8620,9484,10400
CIV,,2018,25069226,3474000,7007118,11790000,8570,9488,10600
CIV,,2019,25716554,3824000,7729373,12690000,8500,9516,10700
COD,Democratic Republic of the Congo,2000,47105832,18010000,22313058,27260000,81800,89268,98000
COD,,2001,48428536,18450000,22839862,27770000,82300,89862,98700
COD,,2002,49871666,18930000,23359599,28440000,71200,77969,85600
COD,,2003,51425584,19730000,24383486,29900000,80100,87995,96800
COD,,2004,53068868,20700000,25547298,31190000,97100,107056,118000
COD,,2005,54785898,21500000,26521057,32370000,81400,90083,99700
COD,,2006,56578046,22140000,27166306,33120000,90900,101220,113000
COD,,2007,58453680,22430000,27641605,33580000,84300,94889,107000
COD,,2008,60411194,22670000,27592828,33420000,71700,81878,92800
COD,,2009,62448574,22080000,26995532,32750000,67500,78211,89900
COD,,2010,64563854,21340000,26322107,32070000,53500,63199,73400
COD,,2011,66755154,20650000,25509951,31260000,40600,48620,57100
COD,,2012,69020748,19410000,24437640,30340000,38400,46818,55800
COD,,2013,71358804,18210000,23295337,29490000,35300,43858,53400
COD,,2014,73767448,17300000,22548387,28850000,36400,46327,57600
COD,,2015,76244540,17260000,22771286,29460000,34500,44929,57300
COD,,2016,78789144,18000000,24006863,31210000,30700,40456,53000
COD,,2017,81398776,19290000,25698931,33330000,33000,45014,60500
COD,,2018,84068096,20370000,27103676,35510000,31900,44458,62000
COD,,2019,86790564,21240000,28280007,36870000,30900,44178,63200
GNQ,Equatorial Guinea,2000,606180,180000,231851,294000,720,792,890
GNQ,,2001,631662,191000,243023,309000,730,807,910
GNQ,,2002,658388,198000,254921,322000,760,846,960
GNQ,,2003,686670,210000,269400,341000,810,910,1030
GNQ,,2004,716949,221000,283388,358000,860,979,1120
GNQ,,2005,749527,230000,294552,371000,880,1012,1160
GNQ,,2006,784494,239000,304370,382000,930,1070,1230
GNQ,,2007,821686,243000,311961,396000,880,1024,1190
GNQ,,2008,860839,230000,307045,400000,830,983,1160
GNQ,,2009,901589,197000,290904,418000,800,965,1160
GNQ,,2010,943640,187000,287783,425000,860,1056,1290
GNQ,,2011,986861,207000,303392,427000,850,1077,1340
GNQ,,2012,1031191,256000,339433,442000,810,1054,1340
GNQ,,2013,1076412,285000,371697,475000,760,1013,1320
GNQ,,2014,1122273,296000,386868,497000,670,906,1210
GNQ,,2015,1168575,288000,385596,510000,550,760,1040
GNQ,,2016,1215181,266000,374252,510000,470,662,930
GNQ,,2017,1262008,237000,358794,519000,460,662,960
GNQ,,2018,1308966,202000,333528,520000,450,656,980
GNQ,,2019,1355982,186000,321438,524000,440,655,1000
ERI,Eritrea,2000,2292413,14000,42048,87000,2,97,270
ERI,,2001,2374721,19000,54461,108000,2,130,350
ERI,,2002,2481059,12000,32823,63000,1,74,200
ERI,,2003,2600972,22000,49490,87000,3,112,270
ERI,,2004,2719809,7500,15093,26000,0,32,78
ERI,,2005,2826653,16000,27680,42000,2,59,130
ERI,,2006,2918209,10000,16438,23000,1,36,77
ERI,,2007,2996540,24000,37568,53000,4,60,120
ERI,,2008,3062782,13000,20767,29000,2,37,76
ERI,,2009,3119920,18000,27652,39000,3,41,81
ERI,,2010,3170437,53000,83471,118000,8,161,320
ERI,,2011,3213969,49000,76678,107000,8,141,280
ERI,,2012,3250104,33000,52483,76000,6,85,170
ERI,,2013,3281453,31000,49309,70000,5,88,180
ERI,,2014,3311444,70000,109689,153000,11,227,460
ERI,,2015,3342818,41000,64176,90000,6,128,260
ERI,,2016,3376558,47000,86561,138000,7,198,440
ERI,,2017,3412894,74000,115928,162000,12,221,450
ERI,,2018,3452797,64000,99716,139000,10,196,390
ERI,,2019,3497117,128000,200382,278000,19,437,890
SWZ,Eswatini,2000,281520,340,792,1400,0,2,5
SWZ,,2001,283810,,1395,,0,3,5
SWZ,,2002,285335,,670,,0,1,2
SWZ,,2003,286382,,342,,0,0,1
SWZ,,2004,287360,,574,,0,1,2
SWZ,,2005,288561,,279,,0,0,1
SWZ,,2006,290106,,155,,,0,
SWZ,,2007,291942,,84,,,0,
SWZ,,2008,293985,,58,,,0,
SWZ,,2009,296089,,106,,,0,
SWZ,,2010,298155,,268,,0,0,1
SWZ,,2011,300168,,549,,0,1,2
SWZ,,2012,302199,,562,,0,1,2
SWZ,,2013,304316,,962,,0,2,3
SWZ,,2014,306606,,711,,0,1,2
SWZ,,2015,309130,,157,,,0,
SWZ,,2016,311918,,350,,0,0,1
SWZ,,2017,314946,,724,,0,1,2
SWZ,,2018,318156,,308,,0,0,1
SWZ,,2019,321477,,239,,,0,
ETH,Ethiopia,2000,45032869,2092000,7083936,17940000,380,14085,40400
ETH,,2001,46348411,2411000,8374138,19500000,550,15186,42100
ETH,,2002,47696619,2441000,8353748,19360000,540,15508,43900
ETH,,2003,49075997,2824000,10752274,26840000,580,19940,58400
ETH,,2004,50482860,2973000,13976643,35470000,550,27173,87400
ETH,,2005,51915486,2832000,10149347,25270000,500,20160,63000
ETH,,2006,53372658,2293000,9905755,24740000,380,18708,58100
ETH,,2007,54858556,1768000,8665431,21780000,280,15546,49400
ETH,,2008,56383037,1129000,6833523,17340000,180,12194,39600
ETH,,2009,57959068,682000,9892034,24830000,110,18808,60500
ETH,,2010,59595175,513000,11075492,27890000,83,20605,67000
ETH,,2011,61295151,452000,10327222,24770000,73,16460,52200
ETH,,2012,63054338,471000,10633280,25380000,76,17152,52800
ETH,,2013,64862335,465000,10503836,23450000,74,18715,56100
ETH,,2014,66704096,472000,5348416,10470000,84,9063,24600
ETH,,2015,68568110,562000,4948978,9542000,110,8929,23300
ETH,,2016,70450352,591000,3889793,7170000,110,7285,18500
ETH,,2017,72351951,623000,3489602,6373000,110,6754,17000
ETH,,2018,74272600,1542000,2793314,4189000,230,6500,14100
ETH,,2019,76213540,1453000,2614852,3907000,250,5626,12100
GAB,Gabon,2000,1228359,255000,398659,595000,500,543,600
GAB,,2001,1258008,245000,386140,581000,420,447,490
GAB,,2002,1288310,224000,354028,530000,410,442,480
GAB,,2003,1319946,192000,303081,457000,390,414,440
GAB,,2004,1353788,152000,238031,355000,360,384,410
GAB,,2005,1390550,132000,199934,293000,370,394,420
GAB,,2006,1430144,113000,174027,255000,350,375,400
GAB,,2007,1472565,98000,158828,245000,350,369,390
GAB,,2008,1518538,92000,165933,276000,360,382,400
GAB,,2009,1568925,101000,199936,356000,380,399,420
GAB,,2010,1624146,125000,249796,453000,390,421,450
GAB,,2011,1684629,161000,312175,534000,410,444,480
GAB,,2012,1749677,209000,386021,653000,430,466,510
GAB,,2013,1817070,240000,455643,793000,450,493,550
GAB,,2014,1883801,258000,498531,872000,460,509,570
GAB,,2015,1947690,267000,516861,901000,460,518,590
GAB,,2016,2007882,260000,508527,900000,450,504,580
GAB,,2017,2064812,247000,487781,872000,460,519,600
GAB,,2018,2119275,232000,473614,875000,460,523,610
GAB,,2019,2172578,221000,460333,848000,470,530,630
GMB,Gambia,2000,1317708,352000,446688,556000,680,713,750
GMB,,2001,1360070,350000,446588,555000,640,678,710
GMB,,2002,1404263,349000,446775,555000,620,654,690
GMB,,2003,1449925,350000,447208,560000,590,620,650
GMB,,2004,1496524,351000,447727,556000,570,597,620
GMB,,2005,1543745,353000,448193,559000,560,581,600
GMB,,2006,1591444,352000,448477,559000,550,572,600
GMB,,2007,1639846,354000,448548,556000,550,570,590
GMB,,2008,1689288,352000,448432,558000,550,574,600
GMB,,2009,1740277,353000,448246,558000,560,578,600
GMB,,2010,1793199,351000,448101,555000,580,598,620
GMB,,2011,1848142,376000,464717,564000,580,609,630
GMB,,2012,1905020,401000,501644,610000,590,616,640
GMB,,2013,1963708,364000,462225,572000,600,623,650
GMB,,2014,2024037,233000,298645,370000,610,631,660
GMB,,2015,2085860,340000,442373,555000,610,638,660
GMB,,2016,2149134,215000,283311,358000,620,645,670
GMB,,2017,2213900,106000,142239,182000,630,656,680
GMB,,2018,2280092,141000,192863,248000,640,663,690
GMB,,2019,2347696,87000,118614,153000,650,677,710
GHA,Ghana,2000,19278850,6644000,8390825,10420000,16500,17162,17800
GHA,,2001,19756929,6638000,8296535,10280000,16300,16979,17600
GHA,,2002,20246376,6302000,7919784,9810000,15800,16383,17000
GHA,,2003,20750308,6143000,7696197,9525000,15500,16048,16700
GHA,,2004,21272328,5977000,7493504,9316000,14700,15204,15800
GHA,,2005,21814648,5815000,7338128,9117000,14000,14537,15100
GHA,,2006,22379057,5811000,7340195,9138000,13800,14328,14800
GHA,,2007,22963946,6044000,7545707,9296000,13900,14348,14900
GHA,,2008,23563832,6538000,8063544,9824000,13900,14437,15000
GHA,,2009,24170943,7059000,8695038,10500000,14200,14782,15300
GHA,,2010,24779614,7531000,9211717,11200000,14200,14799,15400
GHA,,2011,25387713,7770000,9551273,11500000,14000,14576,15100
GHA,,2012,25996454,7756000,9516545,11530000,13500,14062,14600
GHA,,2013,26607641,7355000,9086246,11130000,12900,13449,14000
GHA,,2014,27224480,6713000,8460913,10550000,12100,12556,13000
GHA,,2015,27849203,5945000,7681390,9749000,11300,11759,12200
GHA,,2016,28481947,5071000,6763906,8777000,10800,11287,11800
GHA,,2017,29121464,4241000,5850313,7778000,10600,11061,11500
GHA,,2018,29767108,3608000,5111179,6980000,10600,11100,11700
GHA,,2019,30417858,3383000,4911921,6910000,10600,11206,11800
GIN,Guinea,2000,8240735,2505000,3706104,5303000,10200,10831,11500
GIN,,2001,8417082,2486000,3725455,5405000,10100,10760,11400
GIN,,2002,8586077,2401000,3610282,5217000,11100,11846,12600
GIN,,2003,8753097,2328000,3476303,5030000,11100,11877,12700
GIN,,2004,8925729,2179000,3237758,4679000,11600,12431,13300
GIN,,2005,9109585,1988000,3079391,4560000,11300,12092,12900
GIN,,2006,9307421,1970000,3067387,4502000,11100,11948,12800
GIN,,2007,9518159,2131000,3180792,4565000,11500,12357,13300
GIN,,2008,9738796,2499000,3454652,4646000,11500,12437,13400
GIN,,2009,9964470,2897000,3817726,4931000,12100,13041,14100
GIN,,2010,10192168,3248000,4144004,5200000,12500,13487,14600
GIN,,2011,10420459,3575000,4436129,5439000,12000,13067,14200
GIN,,2012,10652032,3812000,4621297,5557000,11100,12137,13300
GIN,,2013,10892821,3721000,4571389,5570000,10100,11038,12100
GIN,,2014,11150970,3483000,4436172,5580000,9160,10073,11100
GIN,,2015,11432096,3255000,4266827,5485000,8350,9262,10300
GIN,,2016,11738434,2971000,3990259,5248000,7640,8554,9620
GIN,,2017,12067516,2771000,3877193,5269000,7280,8254,9350
GIN,,2018,12414292,2659000,3885709,5444000,7190,8220,9460
GIN,,2019,12771246,2542000,3792217,5520000,7090,8213,9560
GNB,Guinea-Bissau,2000,1201305,262000,501949,872000,1030,1110,1200
GNB,,2001,1227105,221000,427534,751000,950,1021,1100
GNB,,2002,1254454,176000,343670,603000,810,867,930
GNB,,2003,1283297,132000,256462,451000,620,656,690
GNB,,2004,1313492,89000,169346,296000,600,636,670
GNB,,2005,1344931,71000,128488,216000,620,658,700
GNB,,2006,1377582,62000,106765,176000,600,640,680
GNB,,2007,1411545,69000,106203,158000,600,636,680
GNB,,2008,1446936,93000,126581,169000,600,636,680
GNB,,2009,1483920,106000,157865,222000,600,644,690
GNB,,2010,1522603,118000,191239,294000,600,650,700
GNB,,2011,1562996,122000,205541,332000,600,650,710
GNB,,2012,1604981,112000,203548,344000,590,645,710
GNB,,2013,1648259,100000,203190,373000,590,644,710
GNB,,2014,1692433,81000,183272,356000,590,646,720
GNB,,2015,1737207,70000,164101,323000,580,636,700
GNB,,2016,1782434,65000,150258,309000,600,670,760
GNB,,2017,1828146,55000,139153,302000,600,675,760
GNB,,2018,1874304,53000,152524,360000,610,679,780
GNB,,2019,1920917,52000,166853,413000,610,687,790
KEN,Kenya,2000,31964557,5417000,7089454,9006000,13800,14336,14900
KEN,,2001,32848569,6252000,8087966,10310000,13900,14515,15100
KEN,,2002,33751745,5883000,7591570,9695000,13900,14451,15000
KEN,,2003,34678778,5656000,7328901,9330000,13400,13967,14500
KEN,,2004,35635260,4961000,6407693,8191000,12700,13187,13700
KEN,,2005,36624894,3729000,5045463,6721000,11800,12251,12700
KEN,,2006,37649036,2821000,3909296,5338000,11300,11685,12100
KEN,,2007,38705936,2235000,3071448,4127000,11100,11451,11800
KEN,,2008,39791984,1877000,2596985,3482000,10900,11292,11600
KEN,,2009,40901802,1818000,2500146,3343000,11000,11318,11700
KEN,,2010,42030686,1911000,2597365,3450000,11100,11461,11800
